Date/Time,temp_iat,o3_iat,co_iat,no_iat,no2_iat,nox_iat,so2_iat,ch4_iat,nmhc_iat,thc_iat,pm10_iat,pts_iat,at_iat,rh_iat,bp_iat,sr_iat,ws_iat,wd_iat,rain_iat,co_envcity,no2_envcity,o3_envcity,h2s_envcity,nh3_envcity,so2_envcity,temperatura_envcity,umidade_envcity,co_thermo,o3_thermo,no2_thermo,so2_thermo,no_thermo,rh_thermo,pressure_thermo,sensorTemp_thermo
2022-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 03:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 09:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 21:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01 01:00:00+00:00,25.7,2.53,0.0,36.96,28.27,65.23,2.15,0.09,0.07,0.16,51.0,65.0,24.0,52.2,954.1,2.0,0.17,57.34,0.0,,,,,,,,,,,,,,,,
2022-05-01 02:00:00+00:00,25.5,3.87,0.0,22.41,24.25,46.66,1.27,0.09,0.07,0.16,41.0,53.0,23.0,55.3,953.9,1.0,0.47,358.12,0.0,,,,,,,,,,,,,,,,
2022-05-01 03:00:00+00:00,24.9,5.14,0.0,18.42,22.16,40.58,1.12,0.09,0.07,0.16,44.0,55.0,23.4,54.8,953.5,3.0,0.4,177.49,0.0,,,,,,,,,,,,,,,,
2022-05-01 04:00:00+00:00,25.4,28.18,0.0,1.59,4.21,5.8,0.87,0.09,0.07,0.16,21.0,27.0,24.4,49.0,953.4,3.0,0.74,144.44,0.0,,,,,,,,,,,,,,,,
2022-05-01 05:00:00+00:00,25.3,22.33,0.0,1.32,7.18,8.5,0.59,0.09,0.07,0.16,29.0,34.0,23.6,52.2,953.3,2.0,0.5,154.63,0.0,,,,,,,,,,,,,,,,
2022-05-01 06:00:00+00:00,25.1,20.0,0.0,1.18,8.01,9.19,0.88,0.09,0.07,0.16,20.0,33.0,23.2,52.8,953.6,3.0,0.57,167.97,0.0,,,,,,,,,,,,,,,,
2022-05-01 07:00:00+00:00,25.4,20.63,0.0,1.15,8.47,9.62,0.9,0.09,0.07,0.16,102.0,28.0,22.8,53.0,954.0,4.0,0.57,198.69,0.0,,,,,,,,,,,,,,,,
2022-05-01 08:00:00+00:00,25.1,16.32,0.0,3.44,12.86,16.29,0.81,0.09,0.07,0.16,23.0,41.0,23.6,51.6,954.8,84.0,0.5,166.78,0.0,,,,,,,,,,,,,,,,
2022-05-01 09:00:00+00:00,25.4,19.33,0.0,5.2,11.03,16.23,0.67,0.09,0.07,0.16,36.0,51.0,25.7,49.3,955.7,299.0,0.45,154.97,0.0,,,,,,,,,,,,,,,,
2022-05-01 10:00:00+00:00,26.2,29.14,0.0,2.8,8.26,11.06,0.79,0.09,0.07,0.16,37.0,44.0,28.2,45.9,956.2,490.0,0.54,47.71,0.0,,,,,,,,,,,,,,,,
2022-05-01 11:00:00+00:00,26.2,35.39,0.0,2.04,3.29,5.33,0.72,0.09,0.07,0.16,28.0,42.0,29.1,41.4,956.2,655.0,1.7,46.07,0.0,,,,,,,,,,,,,,,,
2022-05-01 12:00:00+00:00,26.9,37.33,0.0,1.36,1.69,3.06,0.79,0.09,0.07,0.16,23.0,43.0,29.6,41.4,955.5,762.0,2.52,18.5,0.0,,,,,,,,,,,,,,,,
2022-05-01 13:00:00+00:00,27.6,37.17,0.0,1.27,1.12,2.39,0.56,0.09,0.07,0.16,40.0,42.0,30.3,40.2,954.8,685.0,2.54,6.64,0.0,,,,,,,,,,,,,,,,
